"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
1.750,1.11,-0.45,,1.750,1.34,0.13,-0.39,1.750,1.32,3.52,-45.85,,,,,1.750,2.60,8.32,-104.47,1.750,0.31,-1.09,0.14,1.750,0.22,-1.01,2.67,1.750,1.39,4.17,-53.07,1.750,0.43,-1.15,-0.10,1.750,0.11,12.74,49.37
1.800,1.04,,,1.800,1.33,0.05,-0.47,1.800,1.32,-0.04,-35.21,,,,,1.800,2.60,0.00,-100.73,1.800,0.26,-1.10,1.31,1.800,0.16,-0.81,37.03,1.800,1.39,-0.01,-40.55,1.800,0.37,-1.15,-0.03,1.800,2.08,13.02,-40.25
,,,,1.850,1.33,0.04,-0.39,1.850,1.32,-0.04,-11.87,,,,,1.850,2.60,1.45,-75.79,1.850,0.20,-1.00,33.29,1.850,0.12,-0.49,70.46,1.850,1.39,-0.02,-13.57,1.850,0.31,-1.15,0.37,1.850,2.08,6.52,-86.39
,,,,1.900,1.34,0.10,-1.47,1.900,1.31,-0.04,-0.03,,,,,1.900,2.60,-6.81,-46.34,1.900,0.15,-0.76,78.44,1.900,0.12,9.53,64.90,1.900,1.39,0.15,-1.97,1.900,0.25,-1.15,16.16,1.900,2.08,-0.08,-65.57
,,,,1.950,1.35,-0.04,-2.88,1.950,1.31,-0.04,-0.08,,,,,1.950,3.04,-7.60,-3.10,1.950,0.12,8.56,76.74,1.950,0.11,9.79,20.73,1.950,1.38,-0.06,,1.950,0.20,-1.04,47.24,1.950,2.07,-0.08,-21.75
,,,,2.000,1.35,-0.31,-2.08,2.000,1.31,-0.05,-0.20,,,,,2.000,0.12,-4.85,-5.45,2.000,0.11,12.86,0.77,2.000,3.03,8.39,-18.95,2.000,1.44,-0.57,,2.000,0.14,3.58,63.31,2.000,2.07,-0.05,
,,,,2.050,1.30,-0.42,,2.050,1.31,-0.06,-0.41,,,,,2.050,2.80,-1.45,,2.050,2.81,8.39,-87.84,2.050,0.15,6.87,-8.42,2.050,1.32,,,2.050,0.11,8.29,34.00,2.050,2.07,-0.03,
,,,,2.100,1.29,-0.15,,2.100,1.31,-0.08,,,,,,2.100,1.38,-14.60,,2.100,1.32,-0.36,-85.95,2.100,2.60,6.76,-33.30,,,,,2.100,1.41,8.52,-25.89,2.100,2.06,,
,,,,2.150,1.29,,,2.150,1.30,-0.13,,,,,,2.150,1.34,,,2.150,1.43,-4.56,-26.78,2.150,2.60,8.89,-86.29,,,,,2.150,1.41,4.23,-57.01,,,,
,,,,,,,,2.200,1.29,,,,,,,,,,,2.200,1.38,0.03,,2.200,2.60,-3.62,-113.28,,,,,2.200,1.40,-0.12,-44.04,,,,
,,,,,,,,,,,,,,,,,,,,2.250,1.38,-0.04,,2.250,2.81,-8.64,-69.98,,,,,2.250,1.40,-0.18,,,,,
,,,,,,,,,,,,,,,,,,,,2.300,1.38,,,2.300,1.31,-9.70,15.92,,,,,2.300,1.39,-0.29,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.350,1.31,-6.03,49.33,,,,,2.350,1.37,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.400,1.20,-1.45,57.50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.450,1.12,-2.08,70.14,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.500,1.07,3.61,81.55,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.550,0.82,9.96,31.65,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.600,2.58,10.97,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.650,2.59,0.05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.700,2.59,,,,,,,,,,,,,,
